


batch_size 100, learning rate 5e-05, coeff 100.0
validation epoch 2, iteration 500, loss 0.6742810413360596
train epoch 2, iteration 550, loss -689.704345703125
train epoch 3, iteration 0, loss -693.0834350585938
validation epoch 3, iteration 0, loss 0.6451282016754151
train epoch 3, iteration 50, loss -696.3694458007812
train epoch 3, iteration 100, loss -699.8233032226562
validation epoch 3, iteration 100, loss 0.6204362396240234
train epoch 3, iteration 150, loss -702.9515380859375
train epoch 3, iteration 200, loss -706.464599609375
validation epoch 3, iteration 200, loss 0.5992624301910401
train epoch 3, iteration 250, loss -709.525634765625
train epoch 3, iteration 300, loss -712.588623046875
validation epoch 3, iteration 300, loss 0.5804712512969971
train epoch 3, iteration 350, loss -715.6961059570312
train epoch 3, iteration 400, loss -718.7403564453125
validation epoch 3, iteration 400, loss 0.5595890098571777
train epoch 3, iteration 450, loss -721.8487548828125
train epoch 3, iteration 500, loss -724.7617797851562
validation epoch 3, iteration 500, loss 0.5443637588500977
train epoch 3, iteration 550, loss -727.706787109375
train epoch 4, iteration 0, loss -730.521484375
validation epoch 4, iteration 0, loss 0.5301142665863037
train epoch 4, iteration 50, loss -733.4053955078125
train epoch 4, iteration 100, loss -736.193603515625
validation epoch 4, iteration 100, loss 0.5185209920883179
train epoch 4, iteration 150, loss -739.0057983398438
train epoch 4, iteration 200, loss -741.7426147460938
validation epoch 4, iteration 200, loss 0.5051138729095459
train epoch 4, iteration 250, loss -744.4788208007812
train epoch 4, iteration 300, loss -747.00146484375
validation epoch 4, iteration 300, loss 0.49496370429992675
train epoch 4, iteration 350, loss -749.9024047851562
train epoch 4, iteration 400, loss -752.3079223632812
validation epoch 4, iteration 400, loss 0.4866094442367554
train epoch 4, iteration 450, loss -755.0602416992188
train epoch 4, iteration 500, loss -757.4977416992188
validation epoch 4, iteration 500, loss 0.47672607765197755
train epoch 4, iteration 550, loss -760.2205200195312
train epoch 5, iteration 0, loss -762.6295166015625
validation epoch 5, iteration 0, loss 0.46905921001434325
train epoch 5, iteration 50, loss -765.1771240234375
train epoch 5, iteration 100, loss -767.7271118164062
validation epoch 5, iteration 100, loss 0.4622669258117676
train epoch 5, iteration 150, loss -770.1975708007812
train epoch 5, iteration 200, loss -772.6477661132812
validation epoch 5, iteration 200, loss 0.45605075721740723
train epoch 5, iteration 250, loss -775.1436767578125
train epoch 5, iteration 300, loss -777.4440307617188
validation epoch 5, iteration 300, loss 0.4492831678390503
train epoch 5, iteration 350, loss -779.7689819335938
train epoch 5, iteration 400, loss -781.9758911132812
validation epoch 5, iteration 400, loss 0.4423774892807007
train epoch 5, iteration 450, loss -784.4590454101562
train epoch 5, iteration 500, loss -786.8016967773438
validation epoch 5, iteration 500, loss 0.43895815677642824
train epoch 5, iteration 550, loss -788.961669921875
train epoch 6, iteration 0, loss -791.1883544921875
validation epoch 6, iteration 0, loss 0.4322056114196777
train epoch 6, iteration 50, loss -793.64306640625
train epoch 6, iteration 100, loss -795.8228759765625
validation epoch 6, iteration 100, loss 0.4304030490875244
train epoch 6, iteration 150, loss -797.9536743164062
train epoch 6, iteration 200, loss -800.2462158203125
validation epoch 6, iteration 200, loss 0.42374691066741943
train epoch 6, iteration 250, loss -802.4193725585938
train epoch 6, iteration 300, loss -804.5940551757812
validation epoch 6, iteration 300, loss 0.4226427791595459
train epoch 6, iteration 350, loss -806.7922973632812
train epoch 6, iteration 400, loss -808.9080200195312
validation epoch 6, iteration 400, loss 0.4174865867614746
train epoch 6, iteration 450, loss -810.957763671875
train epoch 6, iteration 500, loss -812.9072875976562
validation epoch 6, iteration 500, loss 0.41455969791412356
train epoch 6, iteration 550, loss -815.1728515625
train epoch 7, iteration 0, loss -817.2056884765625
validation epoch 7, iteration 0, loss 0.41245317821502686
train epoch 7, iteration 50, loss -819.1013793945312
train epoch 7, iteration 100, loss -821.162841796875
validation epoch 7, iteration 100, loss 0.4107738862991333
train epoch 7, iteration 150, loss -823.07421875
train epoch 7, iteration 200, loss -824.9990844726562
validation epoch 7, iteration 200, loss 0.40874135417938234
train epoch 7, iteration 250, loss -826.8422241210938
train epoch 7, iteration 300, loss -828.7684936523438
validation epoch 7, iteration 300, loss 0.4051234664916992
train epoch 7, iteration 350, loss -830.6264038085938
train epoch 7, iteration 400, loss -832.2975463867188
validation epoch 7, iteration 400, loss 0.4023776170730591
train epoch 7, iteration 450, loss -834.38916015625
train epoch 7, iteration 500, loss -836.2314453125
validation epoch 7, iteration 500, loss 0.4017099447250366
train epoch 7, iteration 550, loss -837.8793334960938
train epoch 8, iteration 0, loss -839.7218627929688
validation epoch 8, iteration 0, loss 0.4016231538772583
train epoch 8, iteration 50, loss -841.219482421875
train epoch 8, iteration 100, loss -843.0059814453125
validation epoch 8, iteration 100, loss 0.3977052118301392
train epoch 8, iteration 150, loss -844.7994995117188
train epoch 8, iteration 200, loss -846.3902587890625
validation epoch 8, iteration 200, loss 0.3968291982650757
train epoch 8, iteration 250, loss -848.1442260742188
train epoch 8, iteration 300, loss -849.81591796875
validation epoch 8, iteration 300, loss 0.3976477731704712
train epoch 8, iteration 350, loss -851.1445922851562
train epoch 8, iteration 400, loss -852.5733032226562
validation epoch 8, iteration 400, loss 0.39309604415893556
train epoch 8, iteration 450, loss -854.2831420898438
train epoch 8, iteration 500, loss -855.6988525390625
validation epoch 8, iteration 500, loss 0.3926759129524231
train epoch 8, iteration 550, loss -857.520751953125
train epoch 9, iteration 0, loss -858.9590454101562
validation epoch 9, iteration 0, loss 0.3955399374008179
train epoch 9, iteration 50, loss -860.2892456054688
train epoch 9, iteration 100, loss -861.8153686523438
validation epoch 9, iteration 100, loss 0.39170474519729614
train epoch 9, iteration 150, loss -863.44775390625
train epoch 9, iteration 200, loss -864.8278198242188
validation epoch 9, iteration 200, loss 0.39130096702575684
train epoch 9, iteration 250, loss -866.1145629882812
train epoch 9, iteration 300, loss -867.4213256835938
validation epoch 9, iteration 300, loss 0.39301746492385864
train epoch 9, iteration 350, loss -869.0093994140625
train epoch 9, iteration 400, loss -870.1063232421875
validation epoch 9, iteration 400, loss 0.39048199911117554
train epoch 9, iteration 450, loss -871.5639038085938
train epoch 9, iteration 500, loss -872.7797241210938
validation epoch 9, iteration 500, loss 0.3888058926582336
train epoch 9, iteration 550, loss -874.1424560546875
train epoch 10, iteration 0, loss -875.631591796875
validation epoch 10, iteration 0, loss 0.38811124725341795
train epoch 10, iteration 50, loss -876.6031494140625
train epoch 10, iteration 100, loss -877.9521484375
validation epoch 10, iteration 100, loss 0.3894984228134155
train epoch 10, iteration 150, loss -879.2041015625
train epoch 10, iteration 200, loss -880.6505737304688
validation epoch 10, iteration 200, loss 0.38959993209838867
train epoch 10, iteration 250, loss -881.8955078125
train epoch 10, iteration 300, loss -882.9854736328125
validation epoch 10, iteration 300, loss 0.38743389320373534
train epoch 10, iteration 350, loss -884.1599731445312
train epoch 10, iteration 400, loss -885.1717529296875
validation epoch 10, iteration 400, loss 0.385580651473999
train epoch 10, iteration 450, loss -886.5642700195312
train epoch 10, iteration 500, loss -887.6643676757812
validation epoch 10, iteration 500, loss 0.3836178866386414
train epoch 10, iteration 550, loss -888.8580322265625
train epoch 11, iteration 0, loss -889.8671264648438
validation epoch 11, iteration 0, loss 0.3814711443901062
train epoch 11, iteration 50, loss -891.0175170898438
train epoch 11, iteration 100, loss -892.3169555664062
validation epoch 11, iteration 100, loss 0.3827618698120117
train epoch 11, iteration 150, loss -893.1410522460938
train epoch 11, iteration 200, loss -894.2462768554688
validation epoch 11, iteration 200, loss 0.38169059705734254
train epoch 11, iteration 250, loss -895.078857421875
train epoch 11, iteration 300, loss -896.2623291015625
validation epoch 11, iteration 300, loss 0.38014674835205076
train epoch 11, iteration 350, loss -897.0330200195312
train epoch 11, iteration 400, loss -898.2898559570312
validation epoch 11, iteration 400, loss 0.37706095209121704
train epoch 11, iteration 450, loss -899.2597045898438
train epoch 11, iteration 500, loss -900.123046875
validation epoch 11, iteration 500, loss 0.3774470109939575
train epoch 11, iteration 550, loss -900.8173828125
train epoch 12, iteration 0, loss -901.8910522460938
validation epoch 12, iteration 0, loss 0.3772194408416748
train epoch 12, iteration 50, loss -902.5245971679688
train epoch 12, iteration 100, loss -903.3518676757812
validation epoch 12, iteration 100, loss 0.37909967851638793
train epoch 12, iteration 150, loss -904.4346923828125
train epoch 12, iteration 200, loss -905.0424194335938
validation epoch 12, iteration 200, loss 0.3771676971435547
train epoch 12, iteration 250, loss -905.7847290039062
train epoch 12, iteration 300, loss -906.4917602539062
validation epoch 12, iteration 300, loss 0.3779206250190735
train epoch 12, iteration 350, loss -907.2948608398438
train epoch 12, iteration 400, loss -907.8877563476562
validation epoch 12, iteration 400, loss 0.3771716148376465
train epoch 12, iteration 450, loss -908.8097534179688
train epoch 12, iteration 500, loss -909.1940307617188
validation epoch 12, iteration 500, loss 0.3783420846939087
train epoch 12, iteration 550, loss -909.9992065429688
train epoch 13, iteration 0, loss -910.693359375
validation epoch 13, iteration 0, loss 0.3789842942237854
train epoch 13, iteration 50, loss -911.1950073242188
train epoch 13, iteration 100, loss -911.8199462890625
validation epoch 13, iteration 100, loss 0.37894051837921144
train epoch 13, iteration 150, loss -912.4931640625
train epoch 13, iteration 200, loss -912.9020385742188
validation epoch 13, iteration 200, loss 0.3761705013275147
train epoch 13, iteration 250, loss -913.519775390625
train epoch 13, iteration 300, loss -913.8576049804688
validation epoch 13, iteration 300, loss 0.3755369167327881
train epoch 13, iteration 350, loss -914.6907958984375
train epoch 13, iteration 400, loss -915.0055541992188
validation epoch 13, iteration 400, loss 0.37569945697784424
train epoch 13, iteration 450, loss -915.4114990234375
train epoch 13, iteration 500, loss -916.0929565429688
validation epoch 13, iteration 500, loss 0.3786424795150757
train epoch 13, iteration 550, loss -916.5587158203125
train epoch 14, iteration 0, loss -916.8923950195312
validation epoch 14, iteration 0, loss 0.3794168476104736
train epoch 14, iteration 50, loss -917.3451538085938
train epoch 14, iteration 100, loss -917.9296264648438
validation epoch 14, iteration 100, loss 0.3775588565826416
train epoch 14, iteration 150, loss -918.0769653320312
train epoch 14, iteration 200, loss -918.669677734375
validation epoch 14, iteration 200, loss 0.3774370502471924
train epoch 14, iteration 250, loss -919.0159301757812
train epoch 14, iteration 300, loss -919.2693481445312
validation epoch 14, iteration 300, loss 0.37942864532470705
train epoch 14, iteration 350, loss -919.9049682617188
train epoch 14, iteration 400, loss -920.0799560546875
validation epoch 14, iteration 400, loss 0.37830716972351075
train epoch 14, iteration 450, loss -920.4876708984375
train epoch 14, iteration 500, loss -920.6541137695312
validation epoch 14, iteration 500, loss 0.38097654056549074
train epoch 14, iteration 550, loss -921.1755981445312
