


batch_size 100, learning rate 5e-05, coeff 1.0
validation epoch 3, iteration 100, loss 0.2959393993377685
train epoch 3, iteration 150, loss -5.670182704925537
train epoch 3, iteration 200, loss -5.748230934143066
validation epoch 3, iteration 200, loss 0.2901723140716553
train epoch 3, iteration 250, loss -5.876315116882324
train epoch 3, iteration 300, loss -5.580370903015137
validation epoch 3, iteration 300, loss 0.28687309741973877
train epoch 3, iteration 350, loss -5.880420684814453
train epoch 3, iteration 400, loss -5.990468502044678
validation epoch 3, iteration 400, loss 0.28107269716262817
train epoch 3, iteration 450, loss -5.898595333099365
train epoch 3, iteration 500, loss -6.020542621612549
validation epoch 3, iteration 500, loss 0.2795604061126709
train epoch 3, iteration 550, loss -6.040617942810059
train epoch 4, iteration 0, loss -6.067269325256348
validation epoch 4, iteration 0, loss 0.27694807615280154
train epoch 4, iteration 50, loss -6.009910583496094
train epoch 4, iteration 100, loss -6.108910083770752
validation epoch 4, iteration 100, loss 0.27288946971893313
train epoch 4, iteration 150, loss -6.0452446937561035
train epoch 4, iteration 200, loss -6.237286567687988
validation epoch 4, iteration 200, loss 0.2700340088844299
train epoch 4, iteration 250, loss -6.131158351898193
train epoch 4, iteration 300, loss -6.269596099853516
validation epoch 4, iteration 300, loss 0.26700887985229493
train epoch 4, iteration 350, loss -6.2067036628723145
train epoch 4, iteration 400, loss -6.1888017654418945
validation epoch 4, iteration 400, loss 0.2622668014526367
train epoch 4, iteration 450, loss -6.1861572265625
train epoch 4, iteration 500, loss -6.2691826820373535
validation epoch 4, iteration 500, loss 0.2605871458053589
train epoch 4, iteration 550, loss -6.183574199676514
train epoch 5, iteration 0, loss -6.346053123474121
validation epoch 5, iteration 0, loss 0.25601262197494506
train epoch 5, iteration 50, loss -6.272281169891357
train epoch 5, iteration 100, loss -6.343994617462158
validation epoch 5, iteration 100, loss 0.25648559885025024
train epoch 5, iteration 150, loss -6.182900428771973
train epoch 5, iteration 200, loss -6.345579624176025
validation epoch 5, iteration 200, loss 0.251976375579834
train epoch 5, iteration 250, loss -6.201930999755859
train epoch 5, iteration 300, loss -6.313776969909668
validation epoch 5, iteration 300, loss 0.24910813331604004
train epoch 5, iteration 350, loss -6.349047660827637
train epoch 5, iteration 400, loss -6.258768558502197
validation epoch 5, iteration 400, loss 0.24544815225601196
train epoch 5, iteration 450, loss -6.376924991607666
train epoch 5, iteration 500, loss -6.308948993682861
validation epoch 5, iteration 500, loss 0.2432334909439087
train epoch 5, iteration 550, loss -6.448293209075928
train epoch 6, iteration 0, loss -6.437506675720215
validation epoch 6, iteration 0, loss 0.2412461464881897
train epoch 6, iteration 50, loss -6.46240758895874
train epoch 6, iteration 100, loss -6.544188499450684
validation epoch 6, iteration 100, loss 0.2393220311164856
train epoch 6, iteration 150, loss -6.597774505615234
train epoch 6, iteration 200, loss -6.583034515380859
validation epoch 6, iteration 200, loss 0.2374500780105591
train epoch 6, iteration 250, loss -6.51882266998291
train epoch 6, iteration 300, loss -6.48652982711792
validation epoch 6, iteration 300, loss 0.234765553855896
train epoch 6, iteration 350, loss -6.5790557861328125
train epoch 6, iteration 400, loss -6.524189472198486
validation epoch 6, iteration 400, loss 0.23236710777282715
train epoch 6, iteration 450, loss -6.672362327575684
train epoch 6, iteration 500, loss -6.539089679718018
validation epoch 6, iteration 500, loss 0.2290954668998718
train epoch 6, iteration 550, loss -6.63390588760376
train epoch 7, iteration 0, loss -6.511580944061279
validation epoch 7, iteration 0, loss 0.22726076307296753
train epoch 7, iteration 50, loss -6.569605350494385
train epoch 7, iteration 100, loss -6.7690911293029785
validation epoch 7, iteration 100, loss 0.22710424160957338
train epoch 7, iteration 150, loss -6.749309062957764
train epoch 7, iteration 200, loss -6.642113208770752
validation epoch 7, iteration 200, loss 0.2223387083530426
train epoch 7, iteration 250, loss -6.77882719039917
train epoch 7, iteration 300, loss -6.72410249710083
validation epoch 7, iteration 300, loss 0.223286074924469
train epoch 7, iteration 350, loss -6.791436195373535
train epoch 7, iteration 400, loss -6.775982856750488
validation epoch 7, iteration 400, loss 0.2196434208869934
train epoch 7, iteration 450, loss -6.701021194458008
train epoch 7, iteration 500, loss -6.7328643798828125
validation epoch 7, iteration 500, loss 0.2172354986190796
train epoch 7, iteration 550, loss -6.825984001159668
train epoch 8, iteration 0, loss -6.787059307098389
validation epoch 8, iteration 0, loss 0.2182488081932068
train epoch 8, iteration 50, loss -6.748693943023682
train epoch 8, iteration 100, loss -6.8188042640686035
validation epoch 8, iteration 100, loss 0.21295592999458313
train epoch 8, iteration 150, loss -6.772922039031982
train epoch 8, iteration 200, loss -6.729072570800781
validation epoch 8, iteration 200, loss 0.21261286101341248
train epoch 8, iteration 250, loss -6.85166072845459
train epoch 8, iteration 300, loss -6.769611358642578
validation epoch 8, iteration 300, loss 0.21128983869552612
train epoch 8, iteration 350, loss -6.861540794372559
train epoch 8, iteration 400, loss -6.874864101409912
validation epoch 8, iteration 400, loss 0.2107231700897217
train epoch 8, iteration 450, loss -6.925457000732422
train epoch 8, iteration 500, loss -6.830991744995117
validation epoch 8, iteration 500, loss 0.20721035141944885
train epoch 8, iteration 550, loss -6.857302665710449
train epoch 9, iteration 0, loss -7.006329536437988
validation epoch 9, iteration 0, loss 0.20447572259902955
train epoch 9, iteration 50, loss -7.020176410675049
train epoch 9, iteration 100, loss -6.98233699798584
validation epoch 9, iteration 100, loss 0.20312448348999024
train epoch 9, iteration 150, loss -6.80385160446167
train epoch 9, iteration 200, loss -6.865931510925293
validation epoch 9, iteration 200, loss 0.20142074089050294
train epoch 9, iteration 250, loss -6.950788497924805
train epoch 9, iteration 300, loss -6.944606781005859
validation epoch 9, iteration 300, loss 0.2029745219230652
train epoch 9, iteration 350, loss -7.0635857582092285
train epoch 9, iteration 400, loss -7.059018135070801
validation epoch 9, iteration 400, loss 0.19972191424369812
train epoch 9, iteration 450, loss -7.1014180183410645
train epoch 9, iteration 500, loss -7.040738582611084
validation epoch 9, iteration 500, loss 0.19791023225784302
train epoch 9, iteration 550, loss -7.0098748207092285
train epoch 10, iteration 0, loss -7.110075950622559
validation epoch 10, iteration 0, loss 0.1956885221004486
train epoch 10, iteration 50, loss -7.140894889831543
train epoch 10, iteration 100, loss -6.994312286376953
validation epoch 10, iteration 100, loss 0.19409685978889465
train epoch 10, iteration 150, loss -7.121458530426025
train epoch 10, iteration 200, loss -7.147769451141357
validation epoch 10, iteration 200, loss 0.1940457736968994
train epoch 10, iteration 250, loss -7.174771308898926
train epoch 10, iteration 300, loss -7.123895645141602
validation epoch 10, iteration 300, loss 0.19213249139785768
train epoch 10, iteration 350, loss -7.1475725173950195
train epoch 10, iteration 400, loss -7.184425354003906
validation epoch 10, iteration 400, loss 0.1905913927078247
train epoch 10, iteration 450, loss -7.165730953216553
train epoch 10, iteration 500, loss -7.200308799743652
validation epoch 10, iteration 500, loss 0.19067062523365022
train epoch 10, iteration 550, loss -7.119503974914551
train epoch 11, iteration 0, loss -7.233522891998291
validation epoch 11, iteration 0, loss 0.18771995921134949
train epoch 11, iteration 50, loss -7.225869178771973
train epoch 11, iteration 100, loss -7.303246021270752
validation epoch 11, iteration 100, loss 0.1863963746547699
train epoch 11, iteration 150, loss -7.158403396606445
train epoch 11, iteration 200, loss -7.239157676696777
validation epoch 11, iteration 200, loss 0.18349108142852782
train epoch 11, iteration 250, loss -7.24386739730835
train epoch 11, iteration 300, loss -7.268123626708984
validation epoch 11, iteration 300, loss 0.18456867394447327
train epoch 11, iteration 350, loss -7.245041847229004
train epoch 11, iteration 400, loss -7.297206878662109
validation epoch 11, iteration 400, loss 0.18464411754608154
train epoch 11, iteration 450, loss -7.193933486938477
train epoch 11, iteration 500, loss -7.282052040100098
validation epoch 11, iteration 500, loss 0.18199257831573487
train epoch 11, iteration 550, loss -7.350261211395264
train epoch 12, iteration 0, loss -7.296681880950928
validation epoch 12, iteration 0, loss 0.1806724708557129
train epoch 12, iteration 50, loss -7.233706951141357
train epoch 12, iteration 100, loss -7.342563152313232
validation epoch 12, iteration 100, loss 0.1797760606765747
train epoch 12, iteration 150, loss -7.3196587562561035
train epoch 12, iteration 200, loss -7.415624618530273
validation epoch 12, iteration 200, loss 0.18008026912212372
train epoch 12, iteration 250, loss -7.31846809387207
train epoch 12, iteration 300, loss -7.330256938934326
validation epoch 12, iteration 300, loss 0.17849088382720948
train epoch 12, iteration 350, loss -7.287397861480713
train epoch 12, iteration 400, loss -7.475986003875732
validation epoch 12, iteration 400, loss 0.17633461508750917
train epoch 12, iteration 450, loss -7.2811479568481445
train epoch 12, iteration 500, loss -7.352866172790527
validation epoch 12, iteration 500, loss 0.17465991258621216
train epoch 12, iteration 550, loss -7.417102336883545
train epoch 13, iteration 0, loss -7.4395365715026855
validation epoch 13, iteration 0, loss 0.174605903673172
train epoch 13, iteration 50, loss -7.379032135009766
train epoch 13, iteration 100, loss -7.559431552886963
validation epoch 13, iteration 100, loss 0.17329952096939086
train epoch 13, iteration 150, loss -7.506105422973633
train epoch 13, iteration 200, loss -7.507116317749023
validation epoch 13, iteration 200, loss 0.17086346225738525
train epoch 13, iteration 250, loss -7.525182247161865
train epoch 13, iteration 300, loss -7.470025062561035
validation epoch 13, iteration 300, loss 0.1703483400821686
train epoch 13, iteration 350, loss -7.467314720153809
train epoch 13, iteration 400, loss -7.44163179397583
validation epoch 13, iteration 400, loss 0.17145556526184083
train epoch 13, iteration 450, loss -7.382925987243652
train epoch 13, iteration 500, loss -7.5203704833984375
validation epoch 13, iteration 500, loss 0.16728996562957762
train epoch 13, iteration 550, loss -7.317272663116455
train epoch 14, iteration 0, loss -7.454895496368408
validation epoch 14, iteration 0, loss 0.1676163808822632
train epoch 14, iteration 50, loss -7.549715042114258
train epoch 14, iteration 100, loss -7.550345420837402
validation epoch 14, iteration 100, loss 0.16650246200561525
train epoch 14, iteration 150, loss -7.591149806976318
train epoch 14, iteration 200, loss -7.607316970825195
validation epoch 14, iteration 200, loss 0.1655524829864502
train epoch 14, iteration 250, loss -7.6259870529174805
train epoch 14, iteration 300, loss -7.53552770614624
validation epoch 14, iteration 300, loss 0.16611424250602722
train epoch 14, iteration 350, loss -7.651125907897949
train epoch 14, iteration 400, loss -7.533885955810547
validation epoch 14, iteration 400, loss 0.16357216539382935
train epoch 14, iteration 450, loss -7.57134485244751
train epoch 14, iteration 500, loss -7.661457061767578
validation epoch 14, iteration 500, loss 0.1632385600090027
train epoch 14, iteration 550, loss -7.60582971572876
train epoch 15, iteration 0, loss -7.6716132164001465
validation epoch 15, iteration 0, loss 0.16184428434371947
train epoch 15, iteration 50, loss -7.648962020874023
train epoch 15, iteration 100, loss -7.66127347946167
validation epoch 15, iteration 100, loss 0.1610670930147171
train epoch 15, iteration 150, loss -7.738987445831299
train epoch 15, iteration 200, loss -7.648282527923584
validation epoch 15, iteration 200, loss 0.1625800594329834
train epoch 15, iteration 250, loss -7.674078464508057
train epoch 15, iteration 300, loss -7.716623783111572
validation epoch 15, iteration 300, loss 0.16012690987586975
train epoch 15, iteration 350, loss -7.6930131912231445
train epoch 15, iteration 400, loss -7.690207481384277
validation epoch 15, iteration 400, loss 0.16082417330741883
train epoch 15, iteration 450, loss -7.735261917114258
train epoch 15, iteration 500, loss -7.702137470245361
validation epoch 15, iteration 500, loss 0.15898341517448425
train epoch 15, iteration 550, loss -7.619024276733398
train epoch 16, iteration 0, loss -7.678183555603027
validation epoch 16, iteration 0, loss 0.1576340381860733
train epoch 16, iteration 50, loss -7.761451244354248
train epoch 16, iteration 100, loss -7.772116184234619
validation epoch 16, iteration 100, loss 0.15741628785133363
train epoch 16, iteration 150, loss -7.791805267333984
train epoch 16, iteration 200, loss -7.755444049835205
validation epoch 16, iteration 200, loss 0.15777422037124633
train epoch 16, iteration 250, loss -7.780405521392822
train epoch 16, iteration 300, loss -7.772894382476807
validation epoch 16, iteration 300, loss 0.1554327205181122
train epoch 16, iteration 350, loss -7.788389205932617
train epoch 16, iteration 400, loss -7.730316638946533
validation epoch 16, iteration 400, loss 0.1532424641609192
train epoch 16, iteration 450, loss -7.8587565422058105
train epoch 16, iteration 500, loss -7.719104766845703
validation epoch 16, iteration 500, loss 0.15514861125946044
train epoch 16, iteration 550, loss -7.740334987640381
train epoch 17, iteration 0, loss -7.825793743133545
validation epoch 17, iteration 0, loss 0.15490042819976807
train epoch 17, iteration 50, loss -7.799775123596191
train epoch 17, iteration 100, loss -7.8072662353515625
validation epoch 17, iteration 100, loss 0.15390571858882904
train epoch 17, iteration 150, loss -7.831236839294434
train epoch 17, iteration 200, loss -7.789510726928711
validation epoch 17, iteration 200, loss 0.1525101366043091
train epoch 17, iteration 250, loss -7.779962539672852
train epoch 17, iteration 300, loss -7.84060525894165
validation epoch 17, iteration 300, loss 0.1501626802921295
train epoch 17, iteration 350, loss -7.782393455505371
train epoch 17, iteration 400, loss -7.845625400543213
validation epoch 17, iteration 400, loss 0.15157492501735687
train epoch 17, iteration 450, loss -7.886383533477783
train epoch 17, iteration 500, loss -7.901992321014404
validation epoch 17, iteration 500, loss 0.14872522439956665
train epoch 17, iteration 550, loss -7.916615009307861
train epoch 18, iteration 0, loss -7.8522233963012695
validation epoch 18, iteration 0, loss 0.1503099715232849
train epoch 18, iteration 50, loss -7.882723808288574
train epoch 18, iteration 100, loss -7.952980995178223
validation epoch 18, iteration 100, loss 0.14852051391601562
train epoch 18, iteration 150, loss -7.890272617340088
train epoch 18, iteration 200, loss -7.913486480712891
validation epoch 18, iteration 200, loss 0.14721989438533784
train epoch 18, iteration 250, loss -7.908061981201172
train epoch 18, iteration 300, loss -7.92340612411499
validation epoch 18, iteration 300, loss 0.14877432696819307
train epoch 18, iteration 350, loss -7.972204685211182
train epoch 18, iteration 400, loss -7.85453987121582
validation epoch 18, iteration 400, loss 0.14642282252311706
train epoch 18, iteration 450, loss -7.9003825187683105
train epoch 18, iteration 500, loss -7.907952785491943
validation epoch 18, iteration 500, loss 0.14469254679679872
train epoch 18, iteration 550, loss -7.963183403015137
train epoch 19, iteration 0, loss -7.852365493774414
validation epoch 19, iteration 0, loss 0.14609662280082703
train epoch 19, iteration 50, loss -7.938357353210449
train epoch 19, iteration 100, loss -7.982099533081055
validation epoch 19, iteration 100, loss 0.1452064636707306
train epoch 19, iteration 150, loss -8.022857666015625
train epoch 19, iteration 200, loss -7.969479084014893
validation epoch 19, iteration 200, loss 0.1455271151304245
train epoch 19, iteration 250, loss -7.981563091278076
train epoch 19, iteration 300, loss -7.95167875289917
validation epoch 19, iteration 300, loss 0.14394175662994385
train epoch 19, iteration 350, loss -8.03226375579834
train epoch 19, iteration 400, loss -8.037554740905762
validation epoch 19, iteration 400, loss 0.14321131553649902
train epoch 19, iteration 450, loss -7.971611976623535
train epoch 19, iteration 500, loss -8.030314445495605
validation epoch 19, iteration 500, loss 0.14295492429733275
train epoch 19, iteration 550, loss -7.924513816833496
