


batch_size 100, learning rate 0.0005, coeff 1.0
train epoch 13, iteration 400, loss -9.240102767944336
validation epoch 13, iteration 400, loss 0.10406753645241261
train epoch 13, iteration 450, loss -9.233716011047363
train epoch 13, iteration 500, loss -9.17442512512207
validation epoch 13, iteration 500, loss 0.10168160721361637
train epoch 13, iteration 550, loss -9.234472274780273
train epoch 14, iteration 0, loss -9.231498718261719
validation epoch 14, iteration 0, loss 0.0952996438741684
train epoch 14, iteration 50, loss -9.25096321105957
train epoch 14, iteration 100, loss -9.23831558227539
validation epoch 14, iteration 100, loss 0.08629448239207267
train epoch 14, iteration 150, loss -9.213808059692383
train epoch 14, iteration 200, loss -9.23667049407959
validation epoch 14, iteration 200, loss 0.09453837885260583
train epoch 14, iteration 250, loss -9.233222007751465
train epoch 14, iteration 300, loss -9.24276065826416
validation epoch 14, iteration 300, loss 0.08859089393019676
train epoch 14, iteration 350, loss -9.25141429901123
train epoch 14, iteration 400, loss -9.246651649475098
validation epoch 14, iteration 400, loss 0.08967334958910943
train epoch 14, iteration 450, loss -9.252758979797363
train epoch 14, iteration 500, loss -9.243860244750977
validation epoch 14, iteration 500, loss 0.09450873873829842
train epoch 14, iteration 550, loss -9.250434875488281
train epoch 15, iteration 0, loss -9.257247924804688
validation epoch 15, iteration 0, loss 0.08896361131966114
train epoch 15, iteration 50, loss -9.247093200683594
train epoch 15, iteration 100, loss -9.258296012878418
validation epoch 15, iteration 100, loss 0.08922358378171921
train epoch 15, iteration 150, loss -9.254223823547363
train epoch 15, iteration 200, loss -9.241841316223145
validation epoch 15, iteration 200, loss 0.09235478755831718
train epoch 15, iteration 250, loss -9.250605583190918
train epoch 15, iteration 300, loss -9.248711585998535
validation epoch 15, iteration 300, loss 0.09476090415120125
train epoch 15, iteration 350, loss -9.257183074951172
train epoch 15, iteration 400, loss -9.247049331665039
validation epoch 15, iteration 400, loss 0.09167892509102821
train epoch 15, iteration 450, loss -9.243412017822266
train epoch 15, iteration 500, loss -9.243905067443848
validation epoch 15, iteration 500, loss 0.08857990303635598
train epoch 15, iteration 550, loss -9.24658203125
train epoch 16, iteration 0, loss -9.264337539672852
validation epoch 16, iteration 0, loss 0.09331401206552982
train epoch 16, iteration 50, loss -9.254049301147461
train epoch 16, iteration 100, loss -9.250405311584473
validation epoch 16, iteration 100, loss 0.08992388992458582
train epoch 16, iteration 150, loss -9.265461921691895
train epoch 16, iteration 200, loss -9.24472713470459
validation epoch 16, iteration 200, loss 0.09558509935140609
train epoch 16, iteration 250, loss -9.25915241241455
train epoch 16, iteration 300, loss -9.261467933654785
validation epoch 16, iteration 300, loss 0.09498440549373627
train epoch 16, iteration 350, loss -9.219715118408203
train epoch 16, iteration 400, loss -9.264396667480469
validation epoch 16, iteration 400, loss 0.091313772803545
train epoch 16, iteration 450, loss -9.260025978088379
train epoch 16, iteration 500, loss -9.244866371154785
validation epoch 16, iteration 500, loss 0.09740670226216316
train epoch 16, iteration 550, loss -9.269474983215332
train epoch 17, iteration 0, loss -9.254446983337402
validation epoch 17, iteration 0, loss 0.09418145635426045
train epoch 17, iteration 50, loss -9.262639999389648
train epoch 17, iteration 100, loss -9.26414966583252
validation epoch 17, iteration 100, loss 0.0929287219569087
train epoch 17, iteration 150, loss -9.268439292907715
train epoch 17, iteration 200, loss -9.240998268127441
validation epoch 17, iteration 200, loss 0.09889710168242455
train epoch 17, iteration 250, loss -9.264266967773438
train epoch 17, iteration 300, loss -9.262348175048828
validation epoch 17, iteration 300, loss 0.10140503993630409
train epoch 17, iteration 350, loss -9.265080451965332
train epoch 17, iteration 400, loss -9.268635749816895
validation epoch 17, iteration 400, loss 0.09457889677286148
train epoch 17, iteration 450, loss -9.25539493560791
train epoch 17, iteration 500, loss -9.266924858093262
validation epoch 17, iteration 500, loss 0.0820006589859724
train epoch 17, iteration 550, loss -9.262415885925293
train epoch 18, iteration 0, loss -9.253957748413086
validation epoch 18, iteration 0, loss 0.10096111162304879
train epoch 18, iteration 50, loss -9.256193161010742
train epoch 18, iteration 100, loss -9.267486572265625
validation epoch 18, iteration 100, loss 0.08939845111072063
train epoch 18, iteration 150, loss -9.270004272460938
train epoch 18, iteration 200, loss -9.252524375915527
validation epoch 18, iteration 200, loss 0.09398279862999916
train epoch 18, iteration 250, loss -9.267908096313477
train epoch 18, iteration 300, loss -9.253864288330078
validation epoch 18, iteration 300, loss 0.09721976483464241
train epoch 18, iteration 350, loss -9.257139205932617
train epoch 18, iteration 400, loss -9.26616096496582
validation epoch 18, iteration 400, loss 0.0907876064479351
train epoch 18, iteration 450, loss -9.265007019042969
train epoch 18, iteration 500, loss -9.266578674316406
validation epoch 18, iteration 500, loss 0.09493384429365397
train epoch 18, iteration 550, loss -9.261032104492188
train epoch 19, iteration 0, loss -9.26162338256836
validation epoch 19, iteration 0, loss 0.09413674761652946
train epoch 19, iteration 50, loss -9.26972484588623
train epoch 19, iteration 100, loss -9.261966705322266
validation epoch 19, iteration 100, loss 0.09078980166912079
train epoch 19, iteration 150, loss -9.251495361328125
train epoch 19, iteration 200, loss -9.267613410949707
validation epoch 19, iteration 200, loss 0.093308746381104
train epoch 19, iteration 250, loss -9.267255783081055
train epoch 19, iteration 300, loss -9.266851425170898
validation epoch 19, iteration 300, loss 0.08858964421749115
train epoch 19, iteration 350, loss -9.240497589111328
train epoch 19, iteration 400, loss -9.253586769104004
validation epoch 19, iteration 400, loss 0.08995690303891897
train epoch 19, iteration 450, loss -9.260802268981934
train epoch 19, iteration 500, loss -9.2625093460083
validation epoch 19, iteration 500, loss 0.10912557627260686
train epoch 19, iteration 550, loss -9.26906681060791
