


batch_size 100, learning rate 0.0005, coeff 1.0
validation epoch 5, iteration 500, loss 0.09321824299097062
train epoch 5, iteration 550, loss -8.669939041137695
train epoch 6, iteration 0, loss -8.708585739135742
validation epoch 6, iteration 0, loss 0.08909057275056839
train epoch 6, iteration 50, loss -8.769570350646973
train epoch 6, iteration 100, loss -8.78114128112793
validation epoch 6, iteration 100, loss 0.08107919981777668
train epoch 6, iteration 150, loss -8.793733596801758
train epoch 6, iteration 200, loss -8.792362213134766
validation epoch 6, iteration 200, loss 0.08348115072250366
train epoch 6, iteration 250, loss -8.822532653808594
train epoch 6, iteration 300, loss -8.796316146850586
validation epoch 6, iteration 300, loss 0.0939589874625206
train epoch 6, iteration 350, loss -8.84759521484375
train epoch 6, iteration 400, loss -8.876913070678711
validation epoch 6, iteration 400, loss 0.09587179530858994
train epoch 6, iteration 450, loss -8.893187522888184
train epoch 6, iteration 500, loss -8.899541854858398
validation epoch 6, iteration 500, loss 0.08990328592509031
train epoch 6, iteration 550, loss -8.903203964233398
train epoch 7, iteration 0, loss -8.934229850769043
validation epoch 7, iteration 0, loss 0.09637948204874992
train epoch 7, iteration 50, loss -8.937286376953125
train epoch 7, iteration 100, loss -8.95028305053711
validation epoch 7, iteration 100, loss 0.09042357166409493
train epoch 7, iteration 150, loss -8.938519477844238
train epoch 7, iteration 200, loss -8.97984504699707
validation epoch 7, iteration 200, loss 0.08507786886692047
train epoch 7, iteration 250, loss -8.980232238769531
train epoch 7, iteration 300, loss -8.988931655883789
validation epoch 7, iteration 300, loss 0.09391234991550446
train epoch 7, iteration 350, loss -9.001473426818848
train epoch 7, iteration 400, loss -8.999105453491211
validation epoch 7, iteration 400, loss 0.08838031170666218
train epoch 7, iteration 450, loss -8.954756736755371
train epoch 7, iteration 500, loss -9.023507118225098
validation epoch 7, iteration 500, loss 0.08660683958530425
train epoch 7, iteration 550, loss -9.015594482421875
train epoch 8, iteration 0, loss -9.009217262268066
validation epoch 8, iteration 0, loss 0.09817414042055607
train epoch 8, iteration 50, loss -9.051627159118652
train epoch 8, iteration 100, loss -9.052566528320312
validation epoch 8, iteration 100, loss 0.08531679264605045
train epoch 8, iteration 150, loss -9.028899192810059
train epoch 8, iteration 200, loss -9.044119834899902
validation epoch 8, iteration 200, loss 0.09429699026942254
train epoch 8, iteration 250, loss -9.043126106262207
train epoch 8, iteration 300, loss -9.083434104919434
validation epoch 8, iteration 300, loss 0.08980580626577139
train epoch 8, iteration 350, loss -9.028424263000488
train epoch 8, iteration 400, loss -9.054888725280762
validation epoch 8, iteration 400, loss 0.08731538882255555
train epoch 8, iteration 450, loss -9.07669448852539
train epoch 8, iteration 500, loss -9.035808563232422
validation epoch 8, iteration 500, loss 0.09640026687383652
train epoch 8, iteration 550, loss -9.073197364807129
train epoch 9, iteration 0, loss -9.101461410522461
validation epoch 9, iteration 0, loss 0.08344412643909455
train epoch 9, iteration 50, loss -9.123273849487305
train epoch 9, iteration 100, loss -9.11205005645752
validation epoch 9, iteration 100, loss 0.08422591108679771
train epoch 9, iteration 150, loss -9.134468078613281
train epoch 9, iteration 200, loss -9.108936309814453
validation epoch 9, iteration 200, loss 0.09102507019639015
train epoch 9, iteration 250, loss -9.133199691772461
train epoch 9, iteration 300, loss -9.131879806518555
validation epoch 9, iteration 300, loss 0.08452021794021129
train epoch 9, iteration 350, loss -9.14651107788086
train epoch 9, iteration 400, loss -9.132658958435059
validation epoch 9, iteration 400, loss 0.1087937551125884
train epoch 9, iteration 450, loss -9.14541244506836
train epoch 9, iteration 500, loss -9.157919883728027
validation epoch 9, iteration 500, loss 0.0961639075577259
train epoch 9, iteration 550, loss -9.145076751708984
train epoch 10, iteration 0, loss -9.136260032653809
validation epoch 10, iteration 0, loss 0.08526819425839931
train epoch 10, iteration 50, loss -9.130572319030762
train epoch 10, iteration 100, loss -9.179638862609863
validation epoch 10, iteration 100, loss 0.09417126848474144
train epoch 10, iteration 150, loss -9.18421745300293
train epoch 10, iteration 200, loss -9.150446891784668
validation epoch 10, iteration 200, loss 0.10054307778030634
train epoch 10, iteration 250, loss -9.190696716308594
train epoch 10, iteration 300, loss -9.164457321166992
validation epoch 10, iteration 300, loss 0.087864112187922
train epoch 10, iteration 350, loss -9.182445526123047
train epoch 10, iteration 400, loss -9.191211700439453
validation epoch 10, iteration 400, loss 0.09584793963730336
train epoch 10, iteration 450, loss -9.203267097473145
train epoch 10, iteration 500, loss -9.151358604431152
validation epoch 10, iteration 500, loss 0.1122473681293428
train epoch 10, iteration 550, loss -9.136251449584961
train epoch 11, iteration 0, loss -9.188261985778809
validation epoch 11, iteration 0, loss 0.10489060345813632
train epoch 11, iteration 50, loss -9.204111099243164
train epoch 11, iteration 100, loss -9.215478897094727
validation epoch 11, iteration 100, loss 0.09421628313660621
train epoch 11, iteration 150, loss -9.219158172607422
train epoch 11, iteration 200, loss -9.19763469696045
validation epoch 11, iteration 200, loss 0.08860613310933113
train epoch 11, iteration 250, loss -9.2124605178833
train epoch 11, iteration 300, loss -9.227397918701172
validation epoch 11, iteration 300, loss 0.09455426003639586
train epoch 11, iteration 350, loss -9.229571342468262
train epoch 11, iteration 400, loss -9.228208541870117
validation epoch 11, iteration 400, loss 0.09220331716835499
train epoch 11, iteration 450, loss -9.21643352508545
train epoch 11, iteration 500, loss -9.215719223022461
validation epoch 11, iteration 500, loss 0.10120918538905681
train epoch 11, iteration 550, loss -9.207073211669922
train epoch 12, iteration 0, loss -9.228901863098145
validation epoch 12, iteration 0, loss 0.10525506509467959
train epoch 12, iteration 50, loss -9.240745544433594
train epoch 12, iteration 100, loss -9.22586727142334
validation epoch 12, iteration 100, loss 0.1101062967196107
train epoch 12, iteration 150, loss -9.236265182495117
train epoch 12, iteration 200, loss -9.245457649230957
validation epoch 12, iteration 200, loss 0.1003830550134182
train epoch 12, iteration 250, loss -9.241086959838867
train epoch 12, iteration 300, loss -9.23375129699707
validation epoch 12, iteration 300, loss 0.09727575877904893
train epoch 12, iteration 350, loss -9.216452598571777
train epoch 12, iteration 400, loss -9.249361991882324
validation epoch 12, iteration 400, loss 0.09708453420773148
train epoch 12, iteration 450, loss -9.252715110778809
train epoch 12, iteration 500, loss -9.25049114227295
validation epoch 12, iteration 500, loss 0.09646673132926226
train epoch 12, iteration 550, loss -9.248619079589844
train epoch 13, iteration 0, loss -9.241632461547852
validation epoch 13, iteration 0, loss 0.09120884831361473
train epoch 13, iteration 50, loss -9.255860328674316
train epoch 13, iteration 100, loss -9.258267402648926
validation epoch 13, iteration 100, loss 0.08584805760756135
train epoch 13, iteration 150, loss -9.259077072143555
train epoch 13, iteration 200, loss -9.255908012390137
validation epoch 13, iteration 200, loss 0.09092334410399198
train epoch 13, iteration 250, loss -9.25365924835205
train epoch 13, iteration 300, loss -9.259345054626465
validation epoch 13, iteration 300, loss 0.09329118036180735
train epoch 13, iteration 350, loss -9.235812187194824
train epoch 13, iteration 400, loss -9.243685722351074
validation epoch 13, iteration 400, loss 0.09292136055231094
train epoch 13, iteration 450, loss -9.247692108154297
train epoch 13, iteration 500, loss -9.258605003356934
validation epoch 13, iteration 500, loss 0.10020351025611163
train epoch 13, iteration 550, loss -9.237536430358887
train epoch 14, iteration 0, loss -9.263081550598145
validation epoch 14, iteration 0, loss 0.10963506316542626
train epoch 14, iteration 50, loss -9.256990432739258
train epoch 14, iteration 100, loss -9.261053085327148
validation epoch 14, iteration 100, loss 0.09888837860524655
train epoch 14, iteration 150, loss -9.261344909667969
train epoch 14, iteration 200, loss -9.25784969329834
validation epoch 14, iteration 200, loss 0.09512789044752717
train epoch 14, iteration 250, loss -9.25912857055664
train epoch 14, iteration 300, loss -9.265236854553223
validation epoch 14, iteration 300, loss 0.09445984796248376
train epoch 14, iteration 350, loss -9.266579627990723
train epoch 14, iteration 400, loss -9.24954605102539
validation epoch 14, iteration 400, loss 0.10170000404939056
train epoch 14, iteration 450, loss -9.262479782104492
train epoch 14, iteration 500, loss -9.25938606262207
validation epoch 14, iteration 500, loss 0.11011380653679372
train epoch 14, iteration 550, loss -9.265047073364258
train epoch 15, iteration 0, loss -9.26774787902832
validation epoch 15, iteration 0, loss 0.10725156675130129
train epoch 15, iteration 50, loss -9.268345832824707
train epoch 15, iteration 100, loss -9.266728401184082
validation epoch 15, iteration 100, loss 0.09565317868292332
train epoch 15, iteration 150, loss -9.266322135925293
train epoch 15, iteration 200, loss -9.266020774841309
validation epoch 15, iteration 200, loss 0.0940396212073043
train epoch 15, iteration 250, loss -9.264759063720703
train epoch 15, iteration 300, loss -9.269198417663574
validation epoch 15, iteration 300, loss 0.09384693896491081
train epoch 15, iteration 350, loss -9.267016410827637
train epoch 15, iteration 400, loss -9.267415046691895
validation epoch 15, iteration 400, loss 0.09991741238683462
train epoch 15, iteration 450, loss -9.258399963378906
train epoch 15, iteration 500, loss -9.269757270812988
validation epoch 15, iteration 500, loss 0.09567663364335895
train epoch 15, iteration 550, loss -9.261061668395996
train epoch 16, iteration 0, loss -9.269302368164062
validation epoch 16, iteration 0, loss 0.10121449262984097
train epoch 16, iteration 50, loss -9.269508361816406
train epoch 16, iteration 100, loss -9.270079612731934
validation epoch 16, iteration 100, loss 0.110111017896235
train epoch 16, iteration 150, loss -9.269669532775879
train epoch 16, iteration 200, loss -9.242269515991211
validation epoch 16, iteration 200, loss 0.12821833548024297
train epoch 16, iteration 250, loss -9.26601791381836
train epoch 16, iteration 300, loss -9.263989448547363
validation epoch 16, iteration 300, loss 0.10124774594306946
train epoch 16, iteration 350, loss -9.25935173034668
train epoch 16, iteration 400, loss -9.268532752990723
validation epoch 16, iteration 400, loss 0.10454539012163877
train epoch 16, iteration 450, loss -9.245680809020996
train epoch 16, iteration 500, loss -9.269002914428711
validation epoch 16, iteration 500, loss 0.11182333296425641
train epoch 16, iteration 550, loss -9.268616676330566
train epoch 17, iteration 0, loss -9.263040542602539
validation epoch 17, iteration 0, loss 0.11843218990564346
train epoch 17, iteration 50, loss -9.268712997436523
train epoch 17, iteration 100, loss -9.269763946533203
validation epoch 17, iteration 100, loss 0.11423592906594277
train epoch 17, iteration 150, loss -9.207855224609375
train epoch 17, iteration 200, loss -9.26125431060791
validation epoch 17, iteration 200, loss 0.12151756282635033
train epoch 17, iteration 250, loss -9.268733024597168
train epoch 17, iteration 300, loss -9.256902694702148
validation epoch 17, iteration 300, loss 0.10898443873226643
train epoch 17, iteration 350, loss -9.268034934997559
train epoch 17, iteration 400, loss -9.26977825164795
validation epoch 17, iteration 400, loss 0.10968357580527663
train epoch 17, iteration 450, loss -9.249837875366211
train epoch 17, iteration 500, loss -9.268372535705566
validation epoch 17, iteration 500, loss 0.1186875110052526
train epoch 17, iteration 550, loss -9.252913475036621
train epoch 18, iteration 0, loss -9.269762992858887
validation epoch 18, iteration 0, loss 0.1023099855273962
train epoch 18, iteration 50, loss -9.258940696716309
train epoch 18, iteration 100, loss -9.267646789550781
validation epoch 18, iteration 100, loss 0.09738927072174847
train epoch 18, iteration 150, loss -9.241720199584961
train epoch 18, iteration 200, loss -9.269695281982422
validation epoch 18, iteration 200, loss 0.10495312780365348
train epoch 18, iteration 250, loss -9.269185066223145
train epoch 18, iteration 300, loss -9.268707275390625
validation epoch 18, iteration 300, loss 0.09727244897335768
train epoch 18, iteration 350, loss -9.270193099975586
train epoch 18, iteration 400, loss -9.269157409667969
validation epoch 18, iteration 400, loss 0.09889448360279203
train epoch 18, iteration 450, loss -9.27026653289795
train epoch 18, iteration 500, loss -9.269433975219727
validation epoch 18, iteration 500, loss 0.09135060562305153
train epoch 18, iteration 550, loss -9.27017593383789
train epoch 19, iteration 0, loss -9.266090393066406
validation epoch 19, iteration 0, loss 0.0972421656318009
train epoch 19, iteration 50, loss -9.270169258117676
train epoch 19, iteration 100, loss -9.269007682800293
validation epoch 19, iteration 100, loss 0.09537201654482633
train epoch 19, iteration 150, loss -9.269890785217285
train epoch 19, iteration 200, loss -9.2698335647583
validation epoch 19, iteration 200, loss 0.08975625699707307
train epoch 19, iteration 250, loss -9.26947021484375
train epoch 19, iteration 300, loss -9.268616676330566
validation epoch 19, iteration 300, loss 0.09750299232713878
train epoch 19, iteration 350, loss -9.270320892333984
train epoch 19, iteration 400, loss -9.26954460144043
validation epoch 19, iteration 400, loss 0.10252456068247556
train epoch 19, iteration 450, loss -9.270068168640137
train epoch 19, iteration 500, loss -9.269484519958496
validation epoch 19, iteration 500, loss 0.11971825362369418
train epoch 19, iteration 550, loss -9.269715309143066
