


batch_size 100, learning rate 5e-05, coeff 10.0
validation epoch 2, iteration 400, loss 0.35654646854400635
train epoch 2, iteration 450, loss -66.20159912109375
train epoch 2, iteration 500, loss -66.5333023071289
validation epoch 2, iteration 500, loss 0.34745741834640503
train epoch 2, iteration 550, loss -66.8252182006836
train epoch 3, iteration 0, loss -67.08240509033203
validation epoch 3, iteration 0, loss 0.33909885692596436
train epoch 3, iteration 50, loss -67.45005798339844
train epoch 3, iteration 100, loss -67.7177963256836
validation epoch 3, iteration 100, loss 0.3333150379180908
train epoch 3, iteration 150, loss -68.03594207763672
train epoch 3, iteration 200, loss -68.33009338378906
validation epoch 3, iteration 200, loss 0.32757052059173586
train epoch 3, iteration 250, loss -68.60418701171875
train epoch 3, iteration 300, loss -68.9456787109375
validation epoch 3, iteration 300, loss 0.31867657661437987
train epoch 3, iteration 350, loss -69.20060729980469
train epoch 3, iteration 400, loss -69.40029907226562
validation epoch 3, iteration 400, loss 0.31301697063446043
train epoch 3, iteration 450, loss -69.82502746582031
train epoch 3, iteration 500, loss -69.99492645263672
validation epoch 3, iteration 500, loss 0.3091647331237793
train epoch 3, iteration 550, loss -70.33888244628906
train epoch 4, iteration 0, loss -70.46745300292969
validation epoch 4, iteration 0, loss 0.3026689373970032
train epoch 4, iteration 50, loss -70.57268524169922
train epoch 4, iteration 100, loss -70.96109008789062
validation epoch 4, iteration 100, loss 0.2998330775260925
train epoch 4, iteration 150, loss -71.27772521972656
train epoch 4, iteration 200, loss -71.6292953491211
validation epoch 4, iteration 200, loss 0.2930870626449585
train epoch 4, iteration 250, loss -71.84270477294922
train epoch 4, iteration 300, loss -71.98529815673828
validation epoch 4, iteration 300, loss 0.2900154035568237
train epoch 4, iteration 350, loss -72.05524444580078
train epoch 4, iteration 400, loss -72.5770034790039
validation epoch 4, iteration 400, loss 0.2860005718231201
train epoch 4, iteration 450, loss -72.75135803222656
train epoch 4, iteration 500, loss -73.03233337402344
validation epoch 4, iteration 500, loss 0.28285889482498167
train epoch 4, iteration 550, loss -73.0707778930664
train epoch 5, iteration 0, loss -73.39665222167969
validation epoch 5, iteration 0, loss 0.28212458934783935
train epoch 5, iteration 50, loss -73.55094909667969
train epoch 5, iteration 100, loss -73.8454818725586
validation epoch 5, iteration 100, loss 0.27657125272750854
train epoch 5, iteration 150, loss -74.05612182617188
train epoch 5, iteration 200, loss -74.31521606445312
validation epoch 5, iteration 200, loss 0.2727022150039673
train epoch 5, iteration 250, loss -74.60401153564453
train epoch 5, iteration 300, loss -74.59838104248047
validation epoch 5, iteration 300, loss 0.2719919755935669
train epoch 5, iteration 350, loss -74.8392333984375
train epoch 5, iteration 400, loss -75.15078735351562
validation epoch 5, iteration 400, loss 0.26973322296142577
train epoch 5, iteration 450, loss -75.30899047851562
train epoch 5, iteration 500, loss -75.40980529785156
validation epoch 5, iteration 500, loss 0.26783523120880126
train epoch 5, iteration 550, loss -75.44146728515625
train epoch 6, iteration 0, loss -75.80818176269531
validation epoch 6, iteration 0, loss 0.2614701964378357
train epoch 6, iteration 50, loss -76.02681732177734
train epoch 6, iteration 100, loss -76.1549072265625
validation epoch 6, iteration 100, loss 0.25957720527648925
train epoch 6, iteration 150, loss -76.33719635009766
train epoch 6, iteration 200, loss -76.55363464355469
validation epoch 6, iteration 200, loss 0.25799047231674194
train epoch 6, iteration 250, loss -76.84916687011719
train epoch 6, iteration 300, loss -76.91752624511719
validation epoch 6, iteration 300, loss 0.2554747323989868
train epoch 6, iteration 350, loss -77.24276733398438
train epoch 6, iteration 400, loss -77.36163330078125
validation epoch 6, iteration 400, loss 0.25056124653816225
train epoch 6, iteration 450, loss -77.42900848388672
train epoch 6, iteration 500, loss -77.72982788085938
validation epoch 6, iteration 500, loss 0.2497512300491333
train epoch 6, iteration 550, loss -77.98236083984375
train epoch 7, iteration 0, loss -78.12242889404297
validation epoch 7, iteration 0, loss 0.24692193880081176
train epoch 7, iteration 50, loss -78.4526138305664
train epoch 7, iteration 100, loss -78.42431640625
validation epoch 7, iteration 100, loss 0.24411925354003905
train epoch 7, iteration 150, loss -78.65382385253906
train epoch 7, iteration 200, loss -78.88670349121094
validation epoch 7, iteration 200, loss 0.24473080625534058
train epoch 7, iteration 250, loss -79.08334350585938
train epoch 7, iteration 300, loss -79.15029907226562
validation epoch 7, iteration 300, loss 0.24278043546676636
train epoch 7, iteration 350, loss -79.40814971923828
train epoch 7, iteration 400, loss -79.4630355834961
validation epoch 7, iteration 400, loss 0.23960714635848998
train epoch 7, iteration 450, loss -79.73780822753906
train epoch 7, iteration 500, loss -79.89667510986328
validation epoch 7, iteration 500, loss 0.23775831370353698
train epoch 7, iteration 550, loss -79.90497589111328
train epoch 8, iteration 0, loss -80.11919403076172
validation epoch 8, iteration 0, loss 0.23477813901901246
train epoch 8, iteration 50, loss -80.2833480834961
train epoch 8, iteration 100, loss -80.3652114868164
validation epoch 8, iteration 100, loss 0.2360555612564087
train epoch 8, iteration 150, loss -80.70413208007812
train epoch 8, iteration 200, loss -80.78459167480469
validation epoch 8, iteration 200, loss 0.23357132596969604
train epoch 8, iteration 250, loss -81.00316619873047
train epoch 8, iteration 300, loss -81.08509063720703
validation epoch 8, iteration 300, loss 0.2320229594230652
train epoch 8, iteration 350, loss -81.20697021484375
train epoch 8, iteration 400, loss -81.39385223388672
validation epoch 8, iteration 400, loss 0.2292064248085022
train epoch 8, iteration 450, loss -81.47193145751953
train epoch 8, iteration 500, loss -81.49278259277344
validation epoch 8, iteration 500, loss 0.22830274229049682
train epoch 8, iteration 550, loss -81.79486846923828
train epoch 9, iteration 0, loss -81.91972351074219
validation epoch 9, iteration 0, loss 0.22590171117782593
train epoch 9, iteration 50, loss -82.0822525024414
train epoch 9, iteration 100, loss -82.1407470703125
validation epoch 9, iteration 100, loss 0.2243263970375061
train epoch 9, iteration 150, loss -82.41371154785156
train epoch 9, iteration 200, loss -82.35931396484375
validation epoch 9, iteration 200, loss 0.22359001727104186
train epoch 9, iteration 250, loss -82.50337982177734
train epoch 9, iteration 300, loss -82.55386352539062
validation epoch 9, iteration 300, loss 0.221093869972229
train epoch 9, iteration 350, loss -82.83739471435547
train epoch 9, iteration 400, loss -82.96669006347656
validation epoch 9, iteration 400, loss 0.22247178564071654
train epoch 9, iteration 450, loss -83.1535415649414
train epoch 9, iteration 500, loss -83.23067474365234
validation epoch 9, iteration 500, loss 0.21938957657814026
train epoch 9, iteration 550, loss -83.21304321289062
train epoch 10, iteration 0, loss -83.5296630859375
validation epoch 10, iteration 0, loss 0.21821368832588195
train epoch 10, iteration 50, loss -83.43976593017578
train epoch 10, iteration 100, loss -83.78169250488281
validation epoch 10, iteration 100, loss 0.21878145418167114
train epoch 10, iteration 150, loss -83.82715606689453
train epoch 10, iteration 200, loss -83.86743927001953
validation epoch 10, iteration 200, loss 0.21510833463668824
train epoch 10, iteration 250, loss -84.00887298583984
train epoch 10, iteration 300, loss -84.17406463623047
validation epoch 10, iteration 300, loss 0.21616708965301515
train epoch 10, iteration 350, loss -84.28531646728516
train epoch 10, iteration 400, loss -84.46942901611328
validation epoch 10, iteration 400, loss 0.21473495988845825
train epoch 10, iteration 450, loss -84.47843933105469
train epoch 10, iteration 500, loss -84.56024932861328
validation epoch 10, iteration 500, loss 0.2119295696258545
train epoch 10, iteration 550, loss -84.59590911865234
train epoch 11, iteration 0, loss -84.8631591796875
validation epoch 11, iteration 0, loss 0.20961132612228395
train epoch 11, iteration 50, loss -84.93733215332031
train epoch 11, iteration 100, loss -84.89610290527344
validation epoch 11, iteration 100, loss 0.2088419063091278
train epoch 11, iteration 150, loss -85.03258514404297
train epoch 11, iteration 200, loss -85.21113586425781
validation epoch 11, iteration 200, loss 0.21009639401435853
train epoch 11, iteration 250, loss -85.16580963134766
train epoch 11, iteration 300, loss -85.38602447509766
validation epoch 11, iteration 300, loss 0.20881276865005494
train epoch 11, iteration 350, loss -85.54625701904297
train epoch 11, iteration 400, loss -85.60173797607422
validation epoch 11, iteration 400, loss 0.20602048273086548
train epoch 11, iteration 450, loss -85.65131378173828
train epoch 11, iteration 500, loss -85.69020080566406
validation epoch 11, iteration 500, loss 0.21030287547111512
train epoch 11, iteration 550, loss -85.87897491455078
train epoch 12, iteration 0, loss -85.85923767089844
validation epoch 12, iteration 0, loss 0.2088425973892212
train epoch 12, iteration 50, loss -85.90119171142578
train epoch 12, iteration 100, loss -85.98959350585938
validation epoch 12, iteration 100, loss 0.20483296473026275
train epoch 12, iteration 150, loss -86.21302032470703
train epoch 12, iteration 200, loss -86.22840118408203
validation epoch 12, iteration 200, loss 0.2036740982532501
train epoch 12, iteration 250, loss -86.31756591796875
train epoch 12, iteration 300, loss -86.42616271972656
validation epoch 12, iteration 300, loss 0.20230977411270143
train epoch 12, iteration 350, loss -86.46649169921875
train epoch 12, iteration 400, loss -86.51067352294922
validation epoch 12, iteration 400, loss 0.2008669554710388
train epoch 12, iteration 450, loss -86.55961608886719
train epoch 12, iteration 500, loss -86.72857666015625
validation epoch 12, iteration 500, loss 0.20045133881568908
train epoch 12, iteration 550, loss -86.76115417480469
train epoch 13, iteration 0, loss -86.74436950683594
validation epoch 13, iteration 0, loss 0.19891468286514283
train epoch 13, iteration 50, loss -86.84357452392578
train epoch 13, iteration 100, loss -86.83462524414062
validation epoch 13, iteration 100, loss 0.2010301257610321
train epoch 13, iteration 150, loss -87.01598358154297
train epoch 13, iteration 200, loss -87.0397720336914
validation epoch 13, iteration 200, loss 0.1992668755531311
train epoch 13, iteration 250, loss -87.1161117553711
train epoch 13, iteration 300, loss -87.12657165527344
validation epoch 13, iteration 300, loss 0.1986491084098816
train epoch 13, iteration 350, loss -87.26446533203125
train epoch 13, iteration 400, loss -87.30317687988281
validation epoch 13, iteration 400, loss 0.19703470487594604
train epoch 13, iteration 450, loss -87.26676940917969
train epoch 13, iteration 500, loss -87.36323547363281
validation epoch 13, iteration 500, loss 0.1947436128616333
train epoch 13, iteration 550, loss -87.37661743164062
train epoch 14, iteration 0, loss -87.39173889160156
validation epoch 14, iteration 0, loss 0.19561199054718018
train epoch 14, iteration 50, loss -87.5772933959961
train epoch 14, iteration 100, loss -87.54239654541016
validation epoch 14, iteration 100, loss 0.1943429169654846
train epoch 14, iteration 150, loss -87.53759002685547
train epoch 14, iteration 200, loss -87.746337890625
validation epoch 14, iteration 200, loss 0.19288170652389527
train epoch 14, iteration 250, loss -87.52131652832031
train epoch 14, iteration 300, loss -87.80608367919922
validation epoch 14, iteration 300, loss 0.1922316855430603
train epoch 14, iteration 350, loss -87.83556365966797
train epoch 14, iteration 400, loss -87.8635482788086
validation epoch 14, iteration 400, loss 0.19180503902435303
train epoch 14, iteration 450, loss -87.67327117919922
train epoch 14, iteration 500, loss -87.87596130371094
validation epoch 14, iteration 500, loss 0.1928531380176544
train epoch 14, iteration 550, loss -87.85356140136719
train epoch 15, iteration 0, loss -87.99143981933594
validation epoch 15, iteration 0, loss 0.1915158706665039
train epoch 15, iteration 50, loss -88.05378723144531
train epoch 15, iteration 100, loss -87.9377212524414
validation epoch 15, iteration 100, loss 0.19047503585815428
train epoch 15, iteration 150, loss -88.16232299804688
train epoch 15, iteration 200, loss -88.14608764648438
validation epoch 15, iteration 200, loss 0.18923722167015075
train epoch 15, iteration 250, loss -88.27471160888672
train epoch 15, iteration 300, loss -88.15190887451172
validation epoch 15, iteration 300, loss 0.18764311666488648
train epoch 15, iteration 350, loss -88.237548828125
train epoch 15, iteration 400, loss -88.29695129394531
validation epoch 15, iteration 400, loss 0.18663970580101014
train epoch 15, iteration 450, loss -88.12288665771484
train epoch 15, iteration 500, loss -88.42559051513672
validation epoch 15, iteration 500, loss 0.18924433846473693
train epoch 15, iteration 550, loss -88.22425842285156
train epoch 16, iteration 0, loss -88.41297149658203
validation epoch 16, iteration 0, loss 0.1876344455242157
train epoch 16, iteration 50, loss -88.40818786621094
train epoch 16, iteration 100, loss -88.47049713134766
validation epoch 16, iteration 100, loss 0.18756179461479186
train epoch 16, iteration 150, loss -88.4312973022461
train epoch 16, iteration 200, loss -88.56651306152344
validation epoch 16, iteration 200, loss 0.18695572681427003
train epoch 16, iteration 250, loss -88.53701782226562
train epoch 16, iteration 300, loss -88.54421997070312
validation epoch 16, iteration 300, loss 0.1861060821056366
train epoch 16, iteration 350, loss -88.61480712890625
train epoch 16, iteration 400, loss -88.58540344238281
validation epoch 16, iteration 400, loss 0.184866250705719
train epoch 16, iteration 450, loss -88.73123168945312
train epoch 16, iteration 500, loss -88.6434326171875
validation epoch 16, iteration 500, loss 0.18504906597137452
train epoch 16, iteration 550, loss -88.67341613769531
train epoch 17, iteration 0, loss -88.70926666259766
validation epoch 17, iteration 0, loss 0.1836249915599823
train epoch 17, iteration 50, loss -88.78829193115234
train epoch 17, iteration 100, loss -88.63764190673828
validation epoch 17, iteration 100, loss 0.18309486763477326
train epoch 17, iteration 150, loss -88.73822784423828
train epoch 17, iteration 200, loss -88.8066177368164
validation epoch 17, iteration 200, loss 0.18283871049880981
train epoch 17, iteration 250, loss -88.83893585205078
train epoch 17, iteration 300, loss -88.71869659423828
validation epoch 17, iteration 300, loss 0.18172716703414918
train epoch 17, iteration 350, loss -88.82289123535156
train epoch 17, iteration 400, loss -88.88089752197266
validation epoch 17, iteration 400, loss 0.1825032799720764
train epoch 17, iteration 450, loss -88.7908935546875
train epoch 17, iteration 500, loss -88.96988677978516
validation epoch 17, iteration 500, loss 0.180040425825119
train epoch 17, iteration 550, loss -88.88817596435547
train epoch 18, iteration 0, loss -88.88433837890625
validation epoch 18, iteration 0, loss 0.17954292078018189
train epoch 18, iteration 50, loss -89.01219940185547
train epoch 18, iteration 100, loss -89.04031372070312
validation epoch 18, iteration 100, loss 0.17856988360881806
train epoch 18, iteration 150, loss -88.95855712890625
train epoch 18, iteration 200, loss -89.04531860351562
validation epoch 18, iteration 200, loss 0.18100791013240813
train epoch 18, iteration 250, loss -89.12218475341797
train epoch 18, iteration 300, loss -89.07365417480469
validation epoch 18, iteration 300, loss 0.1802564489841461
train epoch 18, iteration 350, loss -89.16386413574219
train epoch 18, iteration 400, loss -89.10710144042969
validation epoch 18, iteration 400, loss 0.1794211935043335
train epoch 18, iteration 450, loss -89.12158966064453
train epoch 18, iteration 500, loss -89.1485595703125
validation epoch 18, iteration 500, loss 0.17804278268814086
train epoch 18, iteration 550, loss -89.2238998413086
train epoch 19, iteration 0, loss -89.23436737060547
validation epoch 19, iteration 0, loss 0.17614552195072175
train epoch 19, iteration 50, loss -89.26172637939453
train epoch 19, iteration 100, loss -89.29627990722656
validation epoch 19, iteration 100, loss 0.17564193115234375
train epoch 19, iteration 150, loss -89.36125183105469
train epoch 19, iteration 200, loss -89.3499755859375
validation epoch 19, iteration 200, loss 0.17493366417884826
train epoch 19, iteration 250, loss -89.40680694580078
train epoch 19, iteration 300, loss -89.36211395263672
validation epoch 19, iteration 300, loss 0.17452125124931336
train epoch 19, iteration 350, loss -89.29138946533203
train epoch 19, iteration 400, loss -89.4116439819336
validation epoch 19, iteration 400, loss 0.17540413982868194
train epoch 19, iteration 450, loss -89.35844421386719
train epoch 19, iteration 500, loss -89.52503967285156
validation epoch 19, iteration 500, loss 0.17445336809158324
train epoch 19, iteration 550, loss -89.24114227294922
