


batch_size 100, learning rate 0.0005, coeff 1.0
train epoch 4, iteration 200, loss -8.030418395996094
validation epoch 4, iteration 200, loss 0.383567230796814
train epoch 4, iteration 250, loss -8.076126098632812
train epoch 4, iteration 300, loss -7.978172302246094
validation epoch 4, iteration 300, loss 0.3643077615737915
train epoch 4, iteration 350, loss -7.925260543823242
train epoch 4, iteration 400, loss -8.116947174072266
validation epoch 4, iteration 400, loss 0.3669534250259399
train epoch 4, iteration 450, loss -8.032736778259277
train epoch 4, iteration 500, loss -8.003257751464844
validation epoch 4, iteration 500, loss 0.3736956346511841
train epoch 4, iteration 550, loss -8.036382675170898
train epoch 5, iteration 0, loss -8.157758712768555
validation epoch 5, iteration 0, loss 0.38139853801727297
train epoch 5, iteration 50, loss -8.058947563171387
train epoch 5, iteration 100, loss -8.106466293334961
validation epoch 5, iteration 100, loss 0.373401503944397
train epoch 5, iteration 150, loss -8.313736915588379
train epoch 5, iteration 200, loss -8.184171676635742
validation epoch 5, iteration 200, loss 0.37564318504333494
train epoch 5, iteration 250, loss -8.10900592803955
train epoch 5, iteration 300, loss -8.174850463867188
validation epoch 5, iteration 300, loss 0.3616525131225586
train epoch 5, iteration 350, loss -8.06866455078125
train epoch 5, iteration 400, loss -8.33932876586914
validation epoch 5, iteration 400, loss 0.35877838611602786
train epoch 5, iteration 450, loss -8.243937492370605
train epoch 5, iteration 500, loss -8.274077415466309
validation epoch 5, iteration 500, loss 0.37053883132934573
train epoch 5, iteration 550, loss -8.219534873962402
train epoch 6, iteration 0, loss -8.357606887817383
validation epoch 6, iteration 0, loss 0.35181118354797364
train epoch 6, iteration 50, loss -8.337532997131348
train epoch 6, iteration 100, loss -8.284749984741211
validation epoch 6, iteration 100, loss 0.35438718376159667
train epoch 6, iteration 150, loss -8.412393569946289
train epoch 6, iteration 200, loss -8.319165229797363
validation epoch 6, iteration 200, loss 0.3530915214538574
train epoch 6, iteration 250, loss -8.404900550842285
train epoch 6, iteration 300, loss -8.310606002807617
validation epoch 6, iteration 300, loss 0.3516890634536743
train epoch 6, iteration 350, loss -8.438891410827637
train epoch 6, iteration 400, loss -8.370552062988281
validation epoch 6, iteration 400, loss 0.36342051506042483
train epoch 6, iteration 450, loss -8.456132888793945
train epoch 6, iteration 500, loss -8.379035949707031
validation epoch 6, iteration 500, loss 0.36368100299835204
train epoch 6, iteration 550, loss -8.493523597717285
train epoch 7, iteration 0, loss -8.486950874328613
validation epoch 7, iteration 0, loss 0.3582070686340332
train epoch 7, iteration 50, loss -8.5115385055542
train epoch 7, iteration 100, loss -8.361425399780273
validation epoch 7, iteration 100, loss 0.358362979888916
train epoch 7, iteration 150, loss -8.445860862731934
train epoch 7, iteration 200, loss -8.485587120056152
validation epoch 7, iteration 200, loss 0.36428174057006835
train epoch 7, iteration 250, loss -8.49933910369873
train epoch 7, iteration 300, loss -8.400598526000977
validation epoch 7, iteration 300, loss 0.3633787733078003
train epoch 7, iteration 350, loss -8.590126991271973
train epoch 7, iteration 400, loss -8.467583656311035
validation epoch 7, iteration 400, loss 0.3653843391418457
train epoch 7, iteration 450, loss -8.632708549499512
train epoch 7, iteration 500, loss -8.574736595153809
validation epoch 7, iteration 500, loss 0.37507779598236085
train epoch 7, iteration 550, loss -8.642425537109375
train epoch 8, iteration 0, loss -8.630029678344727
validation epoch 8, iteration 0, loss 0.3438825006484985
train epoch 8, iteration 50, loss -8.57443904876709
train epoch 8, iteration 100, loss -8.591127395629883
validation epoch 8, iteration 100, loss 0.34836806411743165
train epoch 8, iteration 150, loss -8.639649391174316
train epoch 8, iteration 200, loss -8.675562858581543
validation epoch 8, iteration 200, loss 0.34636513195037844
train epoch 8, iteration 250, loss -8.578557968139648
train epoch 8, iteration 300, loss -8.67125415802002
validation epoch 8, iteration 300, loss 0.3460092805862427
train epoch 8, iteration 350, loss -8.459774017333984
train epoch 8, iteration 400, loss -8.624124526977539
validation epoch 8, iteration 400, loss 0.3590301668167114
train epoch 8, iteration 450, loss -8.561367988586426
train epoch 8, iteration 500, loss -8.672208786010742
validation epoch 8, iteration 500, loss 0.34917602157592775
train epoch 8, iteration 550, loss -8.547325134277344
train epoch 9, iteration 0, loss -8.69337272644043
validation epoch 9, iteration 0, loss 0.3555036382675171
train epoch 9, iteration 50, loss -8.737771987915039
train epoch 9, iteration 100, loss -8.752434730529785
validation epoch 9, iteration 100, loss 0.3522674964904785
train epoch 9, iteration 150, loss -8.6813383102417
train epoch 9, iteration 200, loss -8.67794418334961
validation epoch 9, iteration 200, loss 0.36194494972229
train epoch 9, iteration 250, loss -8.758576393127441
train epoch 9, iteration 300, loss -8.687886238098145
validation epoch 9, iteration 300, loss 0.35654073371887207
train epoch 9, iteration 350, loss -8.76533317565918
train epoch 9, iteration 400, loss -8.70268440246582
validation epoch 9, iteration 400, loss 0.35542010469436647
train epoch 9, iteration 450, loss -8.578994750976562
train epoch 9, iteration 500, loss -8.786079406738281
validation epoch 9, iteration 500, loss 0.3437924264907837
train epoch 9, iteration 550, loss -8.703611373901367
train epoch 10, iteration 0, loss -8.791707992553711
validation epoch 10, iteration 0, loss 0.361014520072937
train epoch 10, iteration 50, loss -8.771757125854492
train epoch 10, iteration 100, loss -8.855568885803223
validation epoch 10, iteration 100, loss 0.3523245782852173
train epoch 10, iteration 150, loss -8.75919246673584
train epoch 10, iteration 200, loss -8.905290603637695
validation epoch 10, iteration 200, loss 0.35249053316116336
train epoch 10, iteration 250, loss -8.813791275024414
train epoch 10, iteration 300, loss -8.74978256225586
validation epoch 10, iteration 300, loss 0.35125376605987546
train epoch 10, iteration 350, loss -8.756967544555664
train epoch 10, iteration 400, loss -8.904793739318848
validation epoch 10, iteration 400, loss 0.3435770210266113
train epoch 10, iteration 450, loss -8.787314414978027
train epoch 10, iteration 500, loss -8.894697189331055
validation epoch 10, iteration 500, loss 0.339518692779541
train epoch 10, iteration 550, loss -8.871440887451172
train epoch 11, iteration 0, loss -8.809941291809082
validation epoch 11, iteration 0, loss 0.34670519676208494
train epoch 11, iteration 50, loss -8.922111511230469
train epoch 11, iteration 100, loss -8.90919303894043
validation epoch 11, iteration 100, loss 0.35368134746551516
train epoch 11, iteration 150, loss -8.9925537109375
train epoch 11, iteration 200, loss -8.945420265197754
validation epoch 11, iteration 200, loss 0.3667560436248779
train epoch 11, iteration 250, loss -8.95634937286377
train epoch 11, iteration 300, loss -8.941923141479492
validation epoch 11, iteration 300, loss 0.33025104990005494
train epoch 11, iteration 350, loss -8.945405006408691
train epoch 11, iteration 400, loss -8.898063659667969
validation epoch 11, iteration 400, loss 0.3589596076965332
train epoch 11, iteration 450, loss -8.776375770568848
train epoch 11, iteration 500, loss -8.975106239318848
validation epoch 11, iteration 500, loss 0.3439917510032654
train epoch 11, iteration 550, loss -9.003132820129395
train epoch 12, iteration 0, loss -8.914528846740723
validation epoch 12, iteration 0, loss 0.3426813238143921
train epoch 12, iteration 50, loss -8.935540199279785
train epoch 12, iteration 100, loss -8.861836433410645
validation epoch 12, iteration 100, loss 0.3378155691146851
train epoch 12, iteration 150, loss -8.984931945800781
train epoch 12, iteration 200, loss -8.894597053527832
validation epoch 12, iteration 200, loss 0.35418652572631837
train epoch 12, iteration 250, loss -8.95174503326416
train epoch 12, iteration 300, loss -8.953314781188965
validation epoch 12, iteration 300, loss 0.34518455104827883
train epoch 12, iteration 350, loss -8.905679702758789
train epoch 12, iteration 400, loss -8.92556381225586
validation epoch 12, iteration 400, loss 0.36319345359802246
train epoch 12, iteration 450, loss -8.866715431213379
train epoch 12, iteration 500, loss -9.025871276855469
validation epoch 12, iteration 500, loss 0.34010579795837403
train epoch 12, iteration 550, loss -8.957883834838867
train epoch 13, iteration 0, loss -8.906079292297363
validation epoch 13, iteration 0, loss 0.341328848361969
train epoch 13, iteration 50, loss -8.939409255981445
train epoch 13, iteration 100, loss -8.936921119689941
validation epoch 13, iteration 100, loss 0.35125077047348024
train epoch 13, iteration 150, loss -9.029471397399902
train epoch 13, iteration 200, loss -9.019889831542969
validation epoch 13, iteration 200, loss 0.34739368743896487
train epoch 13, iteration 250, loss -9.006869316101074
train epoch 13, iteration 300, loss -8.98721694946289
validation epoch 13, iteration 300, loss 0.3508532884597778
train epoch 13, iteration 350, loss -9.06830883026123
train epoch 13, iteration 400, loss -9.000916481018066
validation epoch 13, iteration 400, loss 0.33932783737182615
train epoch 13, iteration 450, loss -8.976458549499512
train epoch 13, iteration 500, loss -9.039399147033691
validation epoch 13, iteration 500, loss 0.34352843265533445
train epoch 13, iteration 550, loss -8.93993854522705
train epoch 14, iteration 0, loss -8.989055633544922
validation epoch 14, iteration 0, loss 0.35412791156768797
train epoch 14, iteration 50, loss -9.036544799804688
train epoch 14, iteration 100, loss -8.930980682373047
validation epoch 14, iteration 100, loss 0.3456298427581787
train epoch 14, iteration 150, loss -9.016935348510742
train epoch 14, iteration 200, loss -8.989489555358887
validation epoch 14, iteration 200, loss 0.3353472675323486
train epoch 14, iteration 250, loss -9.099156379699707
train epoch 14, iteration 300, loss -9.066340446472168
validation epoch 14, iteration 300, loss 0.33399915256500246
train epoch 14, iteration 350, loss -8.974364280700684
train epoch 14, iteration 400, loss -8.934879302978516
validation epoch 14, iteration 400, loss 0.3304970418930054
train epoch 14, iteration 450, loss -9.06059455871582
train epoch 14, iteration 500, loss -9.01624584197998
validation epoch 14, iteration 500, loss 0.38804730758666994
train epoch 14, iteration 550, loss -8.985177040100098
train epoch 15, iteration 0, loss -9.004778861999512
validation epoch 15, iteration 0, loss 0.3372815713882446
train epoch 15, iteration 50, loss -9.02629566192627
train epoch 15, iteration 100, loss -8.972611427307129
validation epoch 15, iteration 100, loss 0.3374429466247559
train epoch 15, iteration 150, loss -9.031940460205078
train epoch 15, iteration 200, loss -9.053199768066406
validation epoch 15, iteration 200, loss 0.33321841373443606
train epoch 15, iteration 250, loss -9.064191818237305
train epoch 15, iteration 300, loss -9.047579765319824
validation epoch 15, iteration 300, loss 0.3421773780822754
train epoch 15, iteration 350, loss -9.071069717407227
train epoch 15, iteration 400, loss -9.070870399475098
validation epoch 15, iteration 400, loss 0.3708745580673218
train epoch 15, iteration 450, loss -9.026016235351562
train epoch 15, iteration 500, loss -8.997396469116211
validation epoch 15, iteration 500, loss 0.33993047246932984
train epoch 15, iteration 550, loss -9.070469856262207
train epoch 16, iteration 0, loss -9.152884483337402
validation epoch 16, iteration 0, loss 0.3335432605743408
train epoch 16, iteration 50, loss -9.116462707519531
train epoch 16, iteration 100, loss -9.054376602172852
validation epoch 16, iteration 100, loss 0.34296186008453367
train epoch 16, iteration 150, loss -9.0341157913208
train epoch 16, iteration 200, loss -9.039595603942871
validation epoch 16, iteration 200, loss 0.33563764276504515
train epoch 16, iteration 250, loss -9.055818557739258
train epoch 16, iteration 300, loss -9.081867218017578
validation epoch 16, iteration 300, loss 0.3419979796409607
train epoch 16, iteration 350, loss -9.06940746307373
train epoch 16, iteration 400, loss -9.010778427124023
validation epoch 16, iteration 400, loss 0.33906744537353517
train epoch 16, iteration 450, loss -9.122133255004883
train epoch 16, iteration 500, loss -9.09921932220459
validation epoch 16, iteration 500, loss 0.3323751247406006
train epoch 16, iteration 550, loss -9.076312065124512
train epoch 17, iteration 0, loss -9.038811683654785
validation epoch 17, iteration 0, loss 0.336274352645874
train epoch 17, iteration 50, loss -9.05638313293457
train epoch 17, iteration 100, loss -9.001343727111816
validation epoch 17, iteration 100, loss 0.3302258993148804
train epoch 17, iteration 150, loss -9.01478099822998
train epoch 17, iteration 200, loss -9.047463417053223
validation epoch 17, iteration 200, loss 0.33209909954071043
train epoch 17, iteration 250, loss -9.008155822753906
train epoch 17, iteration 300, loss -8.996023178100586
validation epoch 17, iteration 300, loss 0.3515970219612122
train epoch 17, iteration 350, loss -9.052191734313965
train epoch 17, iteration 400, loss -9.036168098449707
validation epoch 17, iteration 400, loss 0.3509150319099426
train epoch 17, iteration 450, loss -9.050882339477539
train epoch 17, iteration 500, loss -9.051219940185547
validation epoch 17, iteration 500, loss 0.34620863313674927
train epoch 17, iteration 550, loss -9.095376968383789
train epoch 18, iteration 0, loss -9.09541130065918
validation epoch 18, iteration 0, loss 0.33674493064880373
train epoch 18, iteration 50, loss -8.860645294189453
train epoch 18, iteration 100, loss -9.04642105102539
validation epoch 18, iteration 100, loss 0.36241707830429076
train epoch 18, iteration 150, loss -8.916744232177734
train epoch 18, iteration 200, loss -9.045347213745117
validation epoch 18, iteration 200, loss 0.33654782609939576
train epoch 18, iteration 250, loss -9.014533042907715
train epoch 18, iteration 300, loss -9.01846694946289
validation epoch 18, iteration 300, loss 0.3282163112640381
train epoch 18, iteration 350, loss -9.083024978637695
train epoch 18, iteration 400, loss -9.088727951049805
validation epoch 18, iteration 400, loss 0.33996602535247805
train epoch 18, iteration 450, loss -9.064737319946289
train epoch 18, iteration 500, loss -9.066232681274414
validation epoch 18, iteration 500, loss 0.34747003374099733
train epoch 18, iteration 550, loss -9.029626846313477
train epoch 19, iteration 0, loss -8.916869163513184
validation epoch 19, iteration 0, loss 0.35436441717147826
train epoch 19, iteration 50, loss -9.114158630371094
train epoch 19, iteration 100, loss -9.014349937438965
validation epoch 19, iteration 100, loss 0.332457430267334
train epoch 19, iteration 150, loss -9.05727481842041
train epoch 19, iteration 200, loss -9.08043098449707
validation epoch 19, iteration 200, loss 0.35812209615707397
train epoch 19, iteration 250, loss -9.128959655761719
train epoch 19, iteration 300, loss -8.97960376739502
validation epoch 19, iteration 300, loss 0.3429309928894043
train epoch 19, iteration 350, loss -9.097322463989258
train epoch 19, iteration 400, loss -9.041080474853516
validation epoch 19, iteration 400, loss 0.3512396297454834
train epoch 19, iteration 450, loss -9.092597961425781
train epoch 19, iteration 500, loss -9.114294052124023
validation epoch 19, iteration 500, loss 0.3376248094558716
train epoch 19, iteration 550, loss -9.09090805053711
